stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
15,0.015,3,600,-0.5733528179506504,0.4010254037844385,-3.351479586142351e-28,2.231858589112417e-16,1583768790.531623,2737369657.276354,-878234931.3621832
15,0.015,4,600,-0.4653589838486224,-0.1139745962155613,-3.351479586142359e-28,-2.868131129973899e-15,-1118295849.135388,-468623413.4523332,-878234931.3621819
15,0.015,5,600,-5.465563361160611e-28,-5.100899573622652e-28,3.351479586142346e-28,2.086537508728731e-16,-1583768790.531622,-2737369657.276359,878234931.3621826
15,0.015,6,600,-0.1079938341020281,0.5149999999999999,3.351479586142346e-28,-9.207513232259114e-16,1118295849.135388,468623413.4523359,878234931.3621831
15,0.015,7,600,-0.5733528179506504,0.4010254037844385,3.351479586142347e-28,-9.296553850809771e-15,1583768790.531623,2737369657.276357,878234931.3621832
15,0.015,8,600,-0.4653589838486224,-0.1139745962155613,3.351479586142358e-28,1.194550487856044e-14,-1118295849.13539,-468623413.4523337,878234931.3621829
16,0.016,1,600,8.202276339285605e-29,-8.955241607987318e-28,-3.351479586142358e-28,1.063301300847302e-14,-1861225783.055228,-2556825142.032546,-878234931.3621835
16,0.016,2,600,-0.05904817862812105,0.4189387423680742,-3.351479586142367e-28,6.457462073198947e-15,1161154192.724014,349162498.7718455,-878234931.3621836
16,0.016,3,600,-0.4292430033982173,0.3487536657337071,-3.351479586142356e-28,-1.449653675569156e-14,1861225783.055225,2556825142.032545,-878234931.3621833
16,0.016,4,600,-0.3701948247700962,-0.07018507663436713,-3.351479586142354e-28,-1.427938260485537e-14,-1161154192.724011,-349162498.7718459,-878234931.3621831
16,0.016,5,600,8.202276339285632e-29,-8.955241607987314e-28,3.351479586142354e-28,-3.182499692206167e-15,-1861225783.055227,-2556825142.032545,878234931.3621833
16,0.016,6,600,-0.05904817862812105,0.4189387423680742,3.351479586142362e-28,1.466239655117501e-14,1161154192.724014,349162498.7718455,878234931.3621833
16,0.016,7,600,-0.4292430033982173,0.3487536657337071,3.351479586142358e-28,-8.961644213320028e-15,1861225783.055225,2556825142.032546,878234931.3621833
16,0.016,8,600,-0.3701948247700962,-0.07018507663436713,3.351479586142356e-28,9.167191633226155e-15,-1161154192.724012,-349162498.7718459,878234931.3621839
17,0.017,1,600,-1.203433023454202e-29,-8.991920991560693e-28,-3.351479586142395e-28,5.205764190514295e-15,-2118290796.413142,-2348267515.482559,-878234931.3621802
17,0.017,2,600,-0.02041178821599188,0.3182875042061958,-3.351479586142405e-28,6.387881789418732e-15,1191290687.99001,225876086.6878682,-878234931.3621804
17,0.017,3,600,-0.2913865219391332,0.2817047002763473,-3.351479586142399e-28,-1.063575881425426e-14,2118290796.41314,2348267515.482559,-878234931.36218
17,0.017,4,600,-0.2709747337231412,-0.03658280392984858,-3.351479586142404e-28,-1.250039023013325e-14,-1191290687.990007,-225876086.6878685,-878234931.3621801
17,0.017,5,600,-1.20343302345426e-29,-8.991920991560682e-28,3.351479586142402e-28,-1.954442248493155e-15,-2118290796.413141,-2348267515.482559,878234931.3621802
17,0.017,6,600,-0.02041178821599188,0.3182875042061958,3.351479586142397e-28,1.468001065084738e-14,1191290687.99001,225876086.6878682,878234931.3621801
17,0.017,7,600,-0.2913865219391332,0.2817047002763473,3.351479586142397e-28,-5.566020715740726e-15,2118290796.41314,2348267515.482559,878234931.3621801
17,0.017,8,600,-0.2709747337231412,-0.03658280392984858,3.351479586142395e-28,4.382955377840977e-15,-1191290687.990008,-225876086.6878684,878234931.3621801
18,0.018,1,600,-1.059595732215374e-28,-8.930083007069797e-28,-3.351479586142323e-28,5.185237010288246e-15,-2352147372.524714,-2113981778.626389,-878234931.3621855
18,0.018,2,600,0.00749202875581978,0.2141490415422921,-3.351479586142324e-28,-1.301179403238206e-14,1208375153.184801,100114928.9305191,-878234931.3621855
18,0.018,3,600,-0.1612937580325873,0.2006131099088082,-3.351479586142314e-28,3.25787909531275e-15,2352147372.524714,2113981778.62639,-878234931.362185
18,0.018,4,600,-0.1687857867884071,-0.01353593163348399,-3.351479586142327e-28,-9.117943353980752e-15,-1208375153.1848,-100114928.9305207,-878234931.3621854
18,0.018,5,600,-1.059595732215356e-28,-8.930083007069824e-28,3.351479586142317e-28,1.650681780164972e-15,-2352147372.524713,-2113981778.626389,878234931.3621855
18,0.018,6,600,0.00749202875581978,0.2141490415422921,3.351479586142306e-28,-3.622863657619391e-15,1208375153.184801,100114928.9305193,878234931.3621855
18,0.018,7,600,-0.1612937580325873,0.2006131099088082,3.351479586142315e-28,1.23936198362935e-14,2352147372.524714,2113981778.62639,878234931.3621851
18,0.018,8,600,-0.1687857867884071,-0.01353593163348399,3.351479586142329e-28,3.265183321922728e-15,-1208375153.1848,-100114928.9305205,878234931.3621851
19,0.019,1,600,-1.987239009508629e-28,-8.770405164413799e-28,-3.351479586142387e-28,2.651992904777177e-15,-2560233329.804417,-1856534815.024446,-878234931.3621832
19,0.019,2,600,0.02435755222932157,0.1076643171656831,-3.351479586142387e-28,-7.724962796561187e-16,1212220407.332533,-26743108.93857927,-878234931.3621831
19,0.019,3,600,-0.04039003522360106,0.1063673510646626,-3.351479586142382e-28,-4.658750364286517e-15,2560233329.804414,1856534815.024447,-878234931.3621836
19,0.019,4,600,-0.06474758745292253,-0.001296966101020591,-3.351479586142376e-28,-8.763249325289018e-15,-1212220407.332531,26743108.93857834,-878234931.3621839
19,0.019,5,600,-1.987239009508624e-28,-8.770405164413811e-28,3.351479586142383e-28,-1.170455611152022e-14,-2560233329.804416,-1856534815.024446,878234931.3621833
19,0.019,6,600,0.02435755222932157,0.1076643171656831,3.351479586142389e-28,6.925262780976684e-15,1212220407.332532,-26743108.93857894,878234931.362183
19,0.019,7,600,-0.04039003522360106,0.1063673510646626,3.35147958614238e-28,4.201195264192892e-15,2560233329.804415,1856534815.024447,878234931.3621835
19,0.019,8,600,-0.06474758745292253,-0.001296966101020591,3.351479586142389e-28,1.212060113080514e-14,-1212220407.33253,26743108.9385783,878234931.3621832
20,0.02,1,600,-2.893109680357098e-28,-8.514636927450927e-28,-3.351479586142334e-28,7.355682253713836e-15,-2740268834.95952,-1578747267.484219,-878234931.3621858
20,0.02,2,600,0.03000000000000003,0,-3.351479586142345e-28,-2.73627960764651e-17,1202784321.024105,-153308143.709799,-878234931.362186
20,0.02,3,600,0.07000000000000006,0,-3.351479586142356e-28,-4.942861911547992e-15,2740268834.95952,1578747267.48422,-878234931.3621855
20,0.02,4,600,0.04000000000000001,0,-3.351479586142351e-28,-1.392796061054386e-14,-1202784321.024106,153308143.7097984,-878234931.362186
20,0.02,5,600,-2.893109680357097e-28,-8.514636927450925e-28,3.351479586142341e-28,-9.796086215465275e-15,-2740268834.959519,-1578747267.48422,878234931.3621855
20,0.02,6,600,0.03000000000000003,0,3.351479586142336e-28,4.96923801018646e-15,1202784321.024105,-153308143.709799,878234931.3621861
20,0.02,7,600,0.07000000000000006,0,3.351479586142344e-28,4.691678976479285e-15,2740268834.959519,1578747267.48422,878234931.362186
20,0.02,8,600,0.04000000000000001,0,3.351479586142345e-28,1.167767229325401e-14,-1202784321.024104,153308143.7097984,878234931.3621854
